epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,174.045,0.46336,0.33086,0.83086,0.84425,0.84457,0.88002,0.72518,0.84718,0.77126,0.9685,0.000955072,0.000955072,0.000955072
43,177.685,0.47212,0.3445,0.83713,0.87417,0.82962,0.89144,0.72026,0.83206,0.742,0.95104,0.000952889,0.000952889,0.000952889
44,181.259,0.47572,0.33834,0.84189,0.8768,0.84002,0.88811,0.71087,0.84382,0.74989,0.9802,0.000950658,0.000950658,0.000950658
45,184.667,0.46298,0.32622,0.82615,0.87966,0.84736,0.8898,0.69771,0.85632,0.72544,0.99014,0.000948377,0.000948377,0.000948377
46,188.216,0.46337,0.31662,0.82629,0.8359,0.84763,0.88626,0.71513,0.83216,0.67548,0.98914,0.000946048,0.000946048,0.000946048
47,191.545,0.4688,0.3247,0.83105,0.86023,0.8312,0.85946,0.68491,0.82459,0.71261,0.97069,0.000943671,0.000943671,0.000943671
48,195.027,0.47015,0.33193,0.83682,0.8269,0.86762,0.88507,0.72294,0.81121,0.67451,0.9893,0.000941245,0.000941245,0.000941245
49,198.378,0.45066,0.31389,0.82493,0.82232,0.88011,0.88899,0.73424,0.80443,0.6523,0.98869,0.000938772,0.000938772,0.000938772
50,201.871,0.45262,0.32916,0.82819,0.86097,0.83763,0.88929,0.73438,0.82486,0.65005,0.99913,0.000936251,0.000936251,0.000936251
51,205.447,0.43643,0.31028,0.82124,0.83772,0.81723,0.87339,0.71385,0.82497,0.69875,0.98484,0.000933683,0.000933683,0.000933683
52,208.886,0.43537,0.31602,0.82315,0.80513,0.80692,0.86819,0.70263,0.84649,0.74579,0.99176,0.000931067,0.000931067,0.000931067
53,212.346,0.43066,0.3039,0.82042,0.84366,0.81363,0.8809,0.72487,0.85879,0.71545,1.01567,0.000928405,0.000928405,0.000928405
54,215.805,0.4359,0.31773,0.82341,0.86065,0.84466,0.8805,0.73477,0.8354,0.65944,1.01845,0.000925697,0.000925697,0.000925697
55,219.319,0.432,0.30757,0.8239,0.84482,0.85916,0.86558,0.72483,0.82621,0.67689,1.00196,0.000922942,0.000922942,0.000922942
56,222.771,0.4155,0.29112,0.82097,0.76942,0.85045,0.85906,0.7091,0.84455,0.78562,0.99451,0.000920142,0.000920142,0.000920142
57,226.133,0.42509,0.31022,0.81769,0.79846,0.80292,0.85587,0.69376,0.8577,0.81725,0.99663,0.000917296,0.000917296,0.000917296
58,229.644,0.42823,0.30452,0.82914,0.8193,0.79653,0.86427,0.70906,0.83978,0.75554,0.99251,0.000914405,0.000914405,0.000914405
59,233.045,0.42563,0.30514,0.8228,0.86363,0.78341,0.86018,0.71153,0.82772,0.73455,0.99175,0.000911469,0.000911469,0.000911469
60,236.615,0.44008,0.30765,0.82234,0.77622,0.85286,0.86293,0.69993,0.85886,0.81401,0.99989,0.000908488,0.000908488,0.000908488
61,239.996,0.42231,0.2921,0.81964,0.84146,0.80891,0.85225,0.70083,0.87554,0.84857,1.01096,0.000905463,0.000905463,0.000905463
